,blue1,blue2,bluescore,red1,red2,redscore
8979,77788J,77788G,24,67766A,910X,8
8980,86868R,1320C,26,33172C,4100A,1
8981,4825A,70857A,8,4825C,109Z,27
8982,11342A,6260X,3,3131V,550C,26
8983,45464Z,169B,15,33172A,77788Y,13
8984,8336Z,550Z,11,61300B,3131B,22
8985,169X,6210Z,6,448X,169Y,27
8986,1320C,5245Y,11,7121A,7121E,26
8987,70857B,30656J,7,6105C,25461Z,27
8988,33172B,33172C,9,67766A,6260X,21
8989,4825C,86868R,7,1961Z,4411S,17
8990,212B,727A,8,77788G,22095A,25
8991,169Y,169A,25,11342A,550Z,5
8992,550X,8336Z,16,448X,77788Y,23
8993,169B,550C,19,70857A,6210X,16
8994,6210Z,7916A,12,7121D,7121B,25
8995,33172A,910X,14,6260A,1360A,13
8996,169X,3131B,9,4825A,77788J,20
8997,4100A,61300B,15,1533M,45464Z,21
8998,33172D,7121E,12,109Z,3131V,21
8999,67766A,11342A,24,1961Z,550X,6
9000,8336Z,22095A,14,7916A,1320C,17
9001,550Z,448X,18,7121D,25461Z,9
9002,33172C,77788G,15,1360A,169B,7
9003,77788Y,7121B,5,61300B,86868R,20
9004,6260X,33172A,9,70857A,33172D,18
9005,910X,3131V,26,5245Y,3131B,10
9006,6260A,169Y,20,4825A,45464Z,6
9007,4411S,727A,16,550C,169A,17
9008,109Z,77788J,13,1533M,30656J,17
9009,7121A,6210X,6,70857B,169X,16
9010,6105C,33172B,16,4825C,212B,10
9011,33172A,77788G,17,6210Z,4100A,19
9012,7916A,6210Z,14,169Y,4411S,19
9013,77788G,910X,8,77788Y,77788J,19
9014,70857B,70857A,6,86868R,45464Z,37
9015,5245Y,6105C,14,7121D,169B,13
9016,33172B,169A,8,7121E,448X,28
9017,109Z,169X,13,22095A,25461Z,14
9018,30656J,33172A,3,1533M,1320C,30
9019,550Z,212B,12,550C,3131V,21
9020,77788Y,77788J,16,169Y,4411S,14
9021,5245Y,6105C,0,86868R,45464Z,24
9022,22095A,25461Z,7,7121E,448X,16
9023,550C,3131V,11,1533M,1320C,19
9024,86868R,45464Z,18,77788Y,77788J,8
9025,1533M,1320C,15,7121E,448X,15
9026,1533M,1320C,23,7121E,448X,15
9027,1533M,1320C,11,86868R,45464Z,18
9028,7631A,39A,3,38X,39C,19
9029,59881A,39W,5,46838C,39K,19
9030,3333A,3333Z,6,38G,39J,33
9031,33F,33K,13,38A,39X,10
9032,46838C,39K,14,38X,39C,18
9033,33F,33K,5,38G,39J,21
9034,38G,39J,3,38X,39C,26
9035,9202X,94994C,12,375X,4478B,25
9036,1898M,63857A,3,81118P,1898R,31
9037,76645A,4478C,9,4478D,55550W,24
9038,63857B,790X,7,94994B,162A,25
9039,9605A,3157N,34,66030B,1784X,7
9040,66030A,1573A,13,1573B,4478E,18
9041,7299E,1784W,15,3157A,7299C,21
9042,9421V,7299A,5,2602H,7299B,34
9043,63857C,55550X,9,41364A,94994A,22
9044,817F,81118P,14,4478X,1898A,25
9045,1898M,94994C,23,66030A,7299E,3
9046,375X,7299B,16,63857A,4478C,9
9047,9421V,41364A,15,9605A,1573A,24
9048,55550W,1898R,29,7299A,66030B,5
9049,162A,4478B,31,76645A,55550X,4
9050,4478X,1784X,29,1573B,1784W,9
9051,2602H,94994A,13,9202X,3157N,17
9052,1898A,4478E,9,790X,4478D,27
9053,7299C,94994B,5,63857C,817F,25
9054,55550X,4478X,20,3157A,63857B,19
9055,1573B,7299A,14,3157N,375X,22
9056,4478B,790X,33,7299E,94994A,3
9057,7299B,817F,15,1573A,76645A,7
9058,1898R,1784W,11,41364A,9202X,19
9059,66030B,94994B,3,81118P,94994C,34
9060,1784X,4478D,12,2602H,63857A,25
9061,7299C,66030A,4,55550W,1898A,25
9062,9605A,3157A,20,63857C,162A,13
9063,4478E,4478C,11,9421V,63857B,22
9064,2602H,66030B,34,1898M,1573A,2
9065,7299A,9202X,12,4478X,7299C,24
9066,1898A,76645A,7,1898R,9605A,28
9067,3157N,63857A,25,9421V,55550X,14
9068,55550W,63857B,13,63857C,7299E,17
9069,3157A,94994A,12,1573B,4478D,28
9070,4478C,162A,15,1784X,1898M,11
9071,1784W,375X,18,94994B,4478E,8
9072,81118P,66030A,19,4478B,7299B,13
9073,790X,41364A,27,94994C,817F,9
9074,1573A,63857A,25,7299A,94994A,7
9075,1573B,9421V,16,1898R,7299C,14
9076,162A,375X,17,4478X,66030A,11
9077,66030B,63857B,12,41364A,76645A,24
9078,4478B,4478D,22,817F,1898M,12
9079,7299E,94994B,8,9605A,55550X,25
9080,1784W,2602H,27,4478C,790X,5
9081,63857C,81118P,28,1784X,9202X,8
9082,4478E,55550W,14,3157A,94994C,21
9083,1898A,41364A,32,7299B,3157N,5
9084,4478X,1898R,23,4478B,94994B,12
9085,9202X,9605A,19,63857A,63857B,13
9086,55550X,817F,19,66030A,1784W,10
9087,1573B,94994C,7,1898A,2602H,18
9088,3157N,63857C,18,4478C,1573A,13
9089,94994A,7299C,6,4478E,162A,28
9090,1898M,55550W,1,9421V,790X,22
9091,3157A,76645A,9,1784X,7299A,26
9092,7299B,4478D,24,66030B,7299E,12
9093,63857B,1573A,8,81118P,375X,18
9094,4478C,7299A,12,9605A,81118P,27
9095,63857C,9202X,9,7299B,63857A,24
9096,817F,63857B,4,4478X,162A,28
9097,9421V,3157A,13,3157N,1898A,17
9098,1784W,7299C,7,375X,4478D,32
9099,55550W,1573A,0,790X,1784X,36
9100,94994C,4478E,3,41364A,2602H,28
9101,55550X,1573B,8,4478B,1898R,30
9102,7299B,63857A,2,9605A,81118P,33
9103,3157N,1898A,3,4478X,162A,28
9104,790X,1784X,5,375X,4478D,27
9105,4478B,1898R,12,41364A,2602H,23
9106,4478X,162A,11,9605A,81118P,15
9107,41364A,2602H,8,375X,4478D,18
9108,375X,4478D,0,9605A,81118P,36
9109,14737A,75183A,13,99561E,7694A,16
9110,8214C,14904C,22,72996A,8214B,7
9111,53999A,14904B,13,53999F,14904A,22
9112,14904D,53999C,26,8214A,7220C,10
9113,14737B,59471A,9,53999E,14737D,15
9114,7220A,34171A,6,99561A,80198A,25
9115,14807A,61612A,15,7220B,53999M,8
9116,7694B,3699A,8,99561B,99561G,24
9117,89858A,99561C,16,7694C,14737C,10
9118,14737A,7220C,11,53999B,99561D,25
9119,53999F,7694A,28,14904D,8214B,6
9120,7220B,80198A,10,53999A,14904C,18
9121,75183A,59471A,8,3699A,7220A,12
9122,99561A,14737B,18,61612A,89858A,8
9123,14904A,8214A,30,99561G,34171A,4
9124,99561D,99561E,13,7694C,7694B,8
9125,53999B,72996A,10,99561C,53999E,9
9126,53999M,14737D,6,53999C,99561B,26
9127,14807A,14737C,9,8214C,14904B,17
9128,99561D,8214A,19,59471A,80198A,10
9129,7694B,34171A,8,7220B,53999B,11
9130,53999E,99561A,7,53999F,14737A,24
9131,53999A,89858A,9,3699A,53999C,22
9132,99561B,8214C,14,14737B,99561E,15
9133,99561G,8214B,8,53999M,99561C,11
9134,14904B,14904C,16,61612A,14904D,6
9135,7220A,7694C,8,14737D,14904A,29
9136,7220C,72996A,15,75183A,14807A,10
9137,99561A,3699A,19,7694A,14737C,12
9138,53999B,61612A,3,8214C,53999C,34
9139,8214B,14904A,24,14737A,80198A,12
9140,72996A,99561B,8,89858A,34171A,11
9141,7694A,99561C,19,59471A,53999A,4
9142,53999F,14737C,20,8214A,7694B,13
9143,7220B,14737D,12,75183A,14904B,13
9144,14904C,53999E,12,99561D,14807A,18
9145,99561E,14904D,5,7220A,99561G,26
9146,53999M,7694C,16,7220C,14737B,12
9147,8214A,75183A,17,99561A,99561B,14
9148,99561C,53999F,29,7220B,8214C,3
9149,99561G,53999B,18,14904C,89858A,7
9150,14904B,7220A,19,14737B,8214B,6
9151,80198A,53999M,18,3699A,14904D,7
9152,53999C,7694A,14,14904A,99561D,22
9153,14737A,7694B,8,14807A,14737D,20
9154,53999A,99561E,19,72996A,14737C,10
9155,7220C,34171A,8,61612A,59471A,9
9156,8214A,8214C,7,7694C,53999E,18
9157,99561B,99561D,5,99561C,14904B,21
9158,7220A,53999M,9,7694A,7694B,21
9159,80198A,14737C,4,75183A,53999B,18
9160,61612A,99561G,13,53999A,14737A,8
9161,14737B,14904D,13,72996A,7220B,11
9162,53999E,3699A,25,99561E,34171A,4
9163,89858A,14737D,5,7220C,53999F,22
9164,53999C,14807A,16,7694C,8214B,17
9165,14904A,59471A,9,99561A,14904C,28
9166,7220B,53999E,15,14737C,7220A,13
9167,3699A,14737D,12,99561C,61612A,10
9168,8214C,99561G,18,80198A,7220C,6
9169,14904C,99561E,29,53999M,8214A,1
9170,59471A,14737A,1,72996A,53999C,29
9171,75183A,34171A,3,14737B,53999F,31
9172,99561B,53999B,14,14807A,7694A,18
9173,8214B,99561D,9,99561A,53999A,22
9174,89858A,14904D,5,14904A,7694B,28
9175,7694C,3699A,9,14737A,14904B,16
9176,99561B,7694B,7,53999F,53999C,25
9177,14807A,7694C,24,14737B,14737C,10
9178,8214A,61612A,10,99561E,99561D,13
9179,14737D,14737A,12,7694A,99561C,22
9180,7220A,75183A,10,14904A,14904B,22
9181,53999E,53999A,13,53999B,53999M,16
9182,72996A,34171A,3,99561A,14904C,28
9183,8214C,8214B,7,99561G,3699A,16
9184,14807A,7694C,5,53999F,53999C,38
9185,7694A,99561C,17,99561E,99561D,14
9186,53999B,53999M,5,14904A,14904B,29
9187,99561G,3699A,5,99561A,14904C,25
9188,7694A,99561C,4,53999F,53999C,24
9189,99561A,14904C,11,14904A,14904B,15
9190,14904A,14904B,9,53999F,53999C,18
9191,7323G,7323B,10,34000E,5221C,19
9192,15796C,7323A,14,7323C,5221E,7
9193,15796B,34000Y,12,5937A,5937B,10
9194,709M,7323F,5,1757A,55055A,28
9195,6753A,8746B,6,34087A,6911A,17
9196,7157D,34000R,12,7157E,709S,17
9197,7294X,7157C,10,709A,7157A,18
9198,7323D,34087B,7,7323E,8746A,17
9199,34087A,15796B,8,5651A,5221B,14
9200,5221E,5221C,10,34000R,7323F,22
9201,5937B,8746B,13,7323B,7294X,9
9202,5937A,8746A,5,7157C,1757A,22
9203,7323C,6911A,11,709M,34000Y,15
9204,709A,7323A,25,7323D,7323G,4
9205,5221B,7323E,12,7157D,34000E,20
9206,5651A,709S,22,34087B,7157A,8
9207,7157E,55055A,25,6753A,15796C,2
9208,7323C,5221C,11,709M,15796B,23
9209,7323G,7157D,10,5221E,34087A,17
9210,6911A,5937A,10,709S,5221B,26
9211,34087B,34000R,27,7323A,6753A,6
9212,8746A,5651A,20,15796C,7294X,6
9213,34000E,709A,24,34000Y,7323F,9
9214,7323D,1757A,22,7323B,7157E,12
9215,7157A,55055A,25,7323E,5937B,10
9216,34087B,5221C,19,8746B,7157C,12
9217,7323F,6753A,12,8746A,5221B,16
9218,5221E,7294X,6,15796B,709S,24
9219,34000E,34087A,10,7323C,55055A,26
9220,34000Y,7157E,9,7157C,7323E,11
9221,15796C,8746B,13,34000R,7323D,23
9222,5651A,709A,4,5937A,7157D,18
9223,709M,7323B,11,7323A,7157A,10
9224,1757A,5937B,21,7323G,6911A,10
9225,709S,7323D,23,7323F,7323C,8
9226,7157E,5221E,8,5651A,8746B,14
9227,7323E,15796C,4,5221C,5937A,16
9228,7323A,1757A,20,7294X,34000Y,16
9229,5221B,709M,8,7323G,34000R,27
9230,7157D,7157A,19,8746A,6911A,6
9231,7157C,6753A,20,5937B,34000E,16
9232,55055A,7323B,30,15796B,709A,4
9233,7323F,7157E,18,34087B,34087A,17
9234,7323E,6911A,8,5651A,7323A,16
9235,7157D,7294X,11,5221C,6753A,6
9236,15796B,8746A,9,8746B,34000E,16
9237,5937A,7323G,2,55055A,34087B,22
9238,34000R,7157A,24,1757A,7323C,9
9239,709A,5937B,6,15796C,709M,23
9240,7157C,5221B,23,5221E,7323D,5
9241,34000Y,34087A,18,7323B,709S,14
9242,34000E,5937A,10,7157E,7323A,11
9243,7323C,7323G,8,7294X,7323E,10
9244,8746B,1757A,20,5221B,709A,4
9245,6911A,15796B,12,7323F,7157C,20
9246,5937B,7323D,7,34087A,5221C,15
9247,7323B,34087B,9,15796C,7157D,20
9248,709S,34000R,14,55055A,8746A,13
9249,34000Y,6753A,11,7157A,5221E,15
9250,34000E,7323D,20,5651A,709M,9
9251,6753A,7323C,0,55055A,1757A,36
9252,709M,15796B,14,8746B,34000Y,17
9253,7323E,7323G,7,7157D,7157C,18
9254,709A,7323B,8,7323A,34000E,25
9255,5221E,7294X,5,34000R,709S,29
9256,7323F,34087B,11,7157E,34087A,19
9257,5937B,5937A,14,7157A,5221B,16
9258,8746A,15796C,10,5651A,5221C,19
9259,8746B,34000Y,0,55055A,1757A,32
9260,7323A,34000E,28,7157D,7157C,10
9261,7157E,34087A,1,34000R,709S,25
9262,5651A,5221C,17,7157A,5221B,17
9263,5651A,5221C,9,7157A,5221B,15
9264,7323A,34000E,16,55055A,1757A,22
9265,7157A,5221B,10,34000R,709S,24
9266,34000R,709S,9,55055A,1757A,20
9267,6865D,3674N,4,98126A,1429A,22
9268,44366B,1801X,24,6865C,24626Z,13
9269,24626X,6893A,20,75553B,1815Z,3
9270,24626S,83292A,22,1429B,6893C,15
9271,6865A,24626C,4,3674R,6865E,19
9272,1221K,24626A,0,1429C,50715A,36
9273,75553A,3532A,23,3118B,83292B,5
9274,65150A,3532B,20,1801A,6865B,9
9275,6893B,8646A,21,78698A,953B,7
9276,98126A,24626Z,14,24626C,50715A,22
9277,3118B,1429A,24,24626S,6865A,4
9278,6893C,6865E,6,44366B,6865D,18
9279,6865B,1815Z,5,3532A,6865C,28
9280,78698A,83292B,7,1221K,1429B,19
9281,6893A,6893B,13,75553A,24626A,10
9282,953B,75553B,19,65150A,3674N,6
9283,1801A,24626X,19,8646A,1801X,10
9284,3674R,1429C,19,83292A,3532B,7
9285,3532A,24626C,9,6893C,24626A,17
9286,50715A,44366B,32,6865B,78698A,4
9287,6865C,75553A,30,1221K,6865A,2
9288,953B,1429B,8,24626X,1429A,18
9289,6865E,24626Z,19,3532B,3118B,15
9290,24626S,8646A,20,6893A,3674N,18
9291,1801X,83292A,9,98126A,75553B,13
9292,65150A,1815Z,7,6893B,3674R,21
9293,6865D,83292B,8,1801A,1429C,7
9294,3674N,50715A,18,6865E,1429B,9
9295,1221K,24626C,27,83292A,953B,2
9296,75553B,3532A,13,24626Z,24626S,19
9297,3118B,6893B,14,1801X,6865D,10
9298,1429C,6865A,16,8646A,1815Z,6
9299,78698A,6893C,14,6865C,1801A,16
9300,1429A,24626A,21,44366B,65150A,11
9301,3674R,6865B,14,24626X,75553A,9
9302,98126A,3532B,16,6893A,83292B,12
9303,6865C,1429B,15,24626C,6865D,19
9304,83292A,8646A,11,1429A,50715A,27
9305,1801A,6865A,4,3532A,44366B,30
9306,24626Z,83292B,19,24626A,953B,5
9307,3674N,3532B,13,6893B,24626X,23
9308,6893C,6893A,10,1801X,3674R,22
9309,24626S,65150A,26,6865E,1221K,7
9310,6865B,75553B,5,1429C,3118B,25
9311,78698A,98126A,8,75553A,1815Z,24
9312,6865B,1429B,17,50715A,44366B,21
9313,6865C,1801X,19,98126A,6865D,8
9314,1221K,1815Z,3,3674R,24626Z,27
9315,3532B,65150A,22,24626X,1429C,7
9316,6893C,6865A,6,1429A,3118B,29
9317,8646A,1801A,14,75553A,75553B,23
9318,6893A,3674N,13,6893B,3532A,18
9319,6865E,24626A,11,24626S,24626C,21
9320,6865C,1801X,15,50715A,44366B,12
9321,3532B,65150A,4,3674R,24626Z,0
9322,75553A,75553B,2,1429A,3118B,31
9323,24626S,24626C,5,6893B,3532A,22
9324,3532B,65150A,13,6865C,1801X,23
9325,6893B,3532A,30,1429A,3118B,14
9326,6893B,3532A,25,6865C,1801X,10
9327,1312B,199A,14,9458A,1312A,10
9328,6277B,99588C,29,1808B,98710B,3
9329,8620A,98456A,3,9458C,16099M,27
9330,98710C,144D,6,8880A,6277C,20
9331,11570A,99588A,15,5791A,16099B,12
9332,9458B,3575B,0,98456B,16099A,29
9333,1808A,11570C,14,11570B,49627A,9
9334,99588B,1808D,26,8620B,76194A,1
9335,98710A,9458A,11,3575A,6277A,22
9336,98456A,16099A,23,199A,6277B,6
9337,49627A,1312A,8,99588C,3575B,12
9338,8880A,11570A,23,1312B,9458B,6
9339,6277A,11570B,14,6277C,99588B,16
9340,99588A,76194A,17,11570C,144D,6
9341,5791A,98710B,8,98710C,98710A,8
9342,16099B,3575A,28,8620A,1808B,0
9343,9458C,98456B,9,1808D,1808A,13
9344,9458A,16099A,24,16099M,8620B,8
9345,76194A,1312A,1,6277A,98456A,31
9346,1312B,98710C,3,16099B,11570B,29
9347,1808B,9458C,7,199A,11570A,14
9348,98710B,99588B,3,99588A,98456B,23
9349,99588C,8620A,17,98710A,1808A,5
9350,5791A,3575A,11,6277B,49627A,12
9351,8620B,11570C,10,8880A,3575B,20
9352,16099M,9458B,24,1808D,144D,5
9353,6277C,99588C,14,9458C,16099A,13
9354,6277B,11570B,23,11570A,76194A,4
9355,1808A,99588B,28,1312A,5791A,4
9356,6277A,3575B,27,8620A,99588A,9
9357,1808B,6277C,18,9458B,9458A,8
9358,1808D,1312B,13,11570C,3575A,16
9359,8880A,98710A,7,199A,16099M,20
9360,16099B,144D,25,98456A,98710B,8
9361,8620B,98456B,12,98710C,49627A,10
9362,76194A,3575B,7,1312B,1808B,21
9363,99588A,11570B,30,3575A,9458C,5
9364,8620A,8880A,9,5791A,16099A,21
9365,9458A,6277B,17,144D,1808A,9
9366,199A,98456B,11,11570C,6277C,17
9367,1808D,98456A,24,99588C,98710C,10
9368,16099M,49627A,11,99588B,16099B,22
9369,9458B,8620B,7,98710B,6277A,18
9370,1312A,11570C,15,98710A,11570A,10
9371,6277C,6277B,19,1808D,8620A,7
9372,144D,3575A,7,99588B,199A,18
9373,6277A,1808B,18,8880A,1808A,7
9374,98710C,16099M,15,1312A,99588A,7
9375,5791A,9458C,5,9458B,76194A,19
9376,98710B,16099A,23,49627A,1312B,9
9377,98456A,98710A,11,8620B,11570B,18
9378,98456B,16099B,21,9458A,99588C,10
9379,3575A,98710C,5,3575B,11570A,20
9380,3575B,11570A,7,6277C,6277A,21
9381,99588B,1808D,10,6277B,99588A,23
9382,98456B,98456A,3,16099B,16099M,26
9383,11570B,11570C,16,16099A,99588C,0
9384,6277B,99588A,25,6277C,6277A,11
9385,11570B,11570C,12,16099B,16099M,17
9386,16099B,16099M,4,6277B,99588A,22
9387,306X,306A,17,306B,8636X,16
9388,306Z,306A,16,8636T,306K,7
9389,8636T,8636X,22,306X,306K,13
9390,306X,8636T,7,306B,306Z,18
9391,306B,306K,13,306A,306Z,12
9392,8636T,306B,20,8636X,306A,13
9393,8636X,306K,11,306X,306Z,13
9394,306K,306B,15,8636T,8636X,21
9395,306Z,8636X,12,306X,306A,17
9396,306A,306X,17,8636T,306K,15
9397,8636X,306K,11,306B,306Z,16
9398,306Z,306B,18,306X,8636T,5
9399,306Z,8636T,12,306A,8636X,14
9400,306A,306X,16,306Z,8636X,13
9401,306A,306X,20,306B,8636T,12
9402,306A,306X,23,306B,8636T,10
9403,737Z,17230H,18,17230C,56360K,5
9404,20164X,6603X,14,30302U,40711A,8
9405,8086X,20887A,7,20164U,1575B,31
9406,17230R,2068E,12,46F,46B,16
9407,18178A,2068B,5,8450A,46E,15
9408,177V,88895A,23,154B,46A,13
9409,1575A,8086Y,21,2068A,6603T,15
9410,20164W,20164Z,22,2068G,20164T,3
9411,2068F,40711C,13,2068D,41611A,5
9412,81131A,1575C,23,1575V,2068C,9
9413,17230C,8450A,15,6603X,2068E,12
9414,154B,1575B,21,2068B,8086Y,13
9415,6603T,46A,18,8086X,18178A,10
9416,2068D,2068A,23,2068G,46E,5
9417,46F,2068C,14,40711C,17230H,9
9418,56360K,20164U,12,81131A,17230R,10
9419,1575V,2068F,16,88895A,20164Z,17
9420,737Z,177V,8,1575C,20164X,16
9421,41611A,30302U,2,1575A,20164W,25
9422,40711A,20164T,15,20887A,46B,14
9423,2068G,8450A,3,17230R,46A,12
9424,2068B,8086X,12,1575V,40711C,15
9425,2068E,20164U,5,737Z,2068A,30
9426,30302U,1575B,12,2068D,177V,24
9427,46E,8086Y,16,17230C,20164W,14
9428,46B,1575C,22,20164Z,17230H,3
9429,20887A,20164X,14,2068F,46F,15
9430,40711A,41611A,7,81131A,154B,18
9431,18178A,6603X,12,1575A,2068C,16
9432,88895A,6603T,22,56360K,20164T,9
9433,46A,2068B,9,30302U,20164U,14
9434,46B,2068D,5,8450A,737Z,20
9435,17230C,17230R,11,41611A,20164X,25
9436,20164W,154B,30,18178A,2068F,2
9437,20164Z,2068A,12,6603X,81131A,13
9438,46F,46E,6,88895A,8086X,27
9439,2068C,177V,27,6603T,40711A,7
9440,20164T,17230H,4,1575B,1575V,31
9441,1575A,2068G,18,20887A,1575C,10
9442,40711C,56360K,6,8086Y,2068E,24
9443,46A,20164X,23,20164W,46B,8
9444,46E,2068C,10,20164U,154B,17
9445,81131A,2068D,8,18178A,20164T,16
9446,20887A,17230C,4,2068B,2068A,19
9447,2068F,30302U,12,8086X,56360K,10
9448,1575V,2068E,7,2068G,177V,29
9449,1575C,41611A,16,46F,6603X,17
9450,1575B,6603T,18,737Z,17230R,18
9451,20164Z,1575A,30,40711C,40711A,6
9452,17230H,8086Y,9,88895A,8450A,12
9453,46B,2068A,21,2068F,2068C,9
9454,154B,1575V,32,2068D,20887A,3
9455,20164W,1575C,15,6603T,2068E,12
9456,46F,18178A,10,17230C,20164Z,16
9457,40711A,2068G,14,8086Y,20164U,24
9458,40711C,81131A,9,8450A,30302U,18
9459,6603X,46E,29,17230H,46A,3
9460,56360K,1575A,8,20164X,1575B,27
9461,8086X,17230R,2,177V,20164T,31
9462,737Z,88895A,33,41611A,2068B,2
9463,6603X,46E,12,46F,1575V,23
9464,30302U,46A,17,737Z,1575B,16
9465,46B,20164T,7,20164Z,8086Y,13
9466,2068C,81131A,6,2068A,1575C,25
9467,46F,1575V,15,88895A,1575A,18
9468,30302U,46A,20,8450A,20164U,13
9469,20164Z,8086Y,4,154B,177V,32
9470,2068A,1575C,5,20164X,20164W,21
9471,30302U,46A,2,88895A,1575A,34
9472,20164X,20164W,18,154B,177V,17
9473,20164X,20164W,24,88895A,1575A,12
9474,5956Z,54320B,13,508J,550A,13
9475,3131V,69796A,4,550G,77788Y,27
9476,804D,3131C,13,3131B,550C,25
9477,19122B,550X,13,9528E,33305T,18
9478,1365A,86940A,13,4009A,5956A,11
9479,1533M,33305E,25,804E,9528B,13
9480,4009B,11741A,12,4009C,550D,24
9481,9528C,86940B,29,1365B,5956C,0
9482,77788H,53346A,20,550Z,77788J,3
9483,550X,1533M,26,19122A,5956Z,6
9484,804E,550A,8,9528E,77788Y,13
9485,3131B,508J,17,33305T,1365A,13
9486,11741A,1365B,19,53346A,54320B,13
9487,77788J,550G,24,86940A,4009B,12
9488,5956C,19122A,6,3131V,550Z,26
9489,550C,33305E,19,19122B,77788H,9
9490,5956A,9528B,19,804D,86940B,4
9491,4009C,4009A,11,9528C,69796A,28
9492,86940A,5956Z,5,3131C,550D,21
9493,9528E,53346A,7,1365A,33305E,22
9494,5956A,33305T,8,77788H,5956C,23
9495,550Z,804D,20,4009B,54320B,7
9496,9528B,550G,8,550X,550A,20
9497,69796A,77788J,15,508J,3131C,20
9498,19122B,550D,12,3131V,86940B,23
9499,1365B,4009C,6,1533M,550C,29
9500,9528C,19122A,27,3131B,804E,7
9501,77788Y,77788H,36,4009A,11741A,0
9502,86940B,550Z,18,33305E,550G,10
9503,550D,5956C,7,69796A,1533M,23
9504,1365A,54320B,15,4009C,804E,13
9505,550X,3131V,24,5956A,11741A,3
9506,3131B,9528E,11,77788J,5956Z,16
9507,77788Y,33305T,27,86940A,9528B,3
9508,804D,508J,22,19122B,1365B,10
9509,3131C,4009A,10,4009B,19122A,21
9510,550A,550C,26,9528C,53346A,2
9511,33305E,3131B,15,86940A,69796A,11
9512,19122B,5956Z,9,4009C,9528B,12
9513,1365B,9528E,20,77788H,19122A,12
9514,508J,86940B,8,550X,550C,24
9515,550G,1365A,15,9528C,550D,21
9516,4009B,53346A,11,77788Y,5956C,29
9517,1533M,54320B,17,77788J,5956A,16
9518,4009A,804E,4,804D,3131V,28
9519,3131C,33305T,9,550Z,550A,23
9520,9528E,550G,22,11741A,508J,14
9521,9528C,77788H,28,4009B,9528B,11
9522,550D,77788Y,33,33305E,5956A,2
9523,69796A,550Z,25,1365B,550X,7
9524,19122A,4009C,12,550A,86940A,22
9525,19122B,54320B,26,4009A,3131B,9
9526,77788J,550C,28,1365A,5956C,4
9527,804E,53346A,16,86940B,5956Z,13
9528,11741A,1533M,30,33305T,804D,4
9529,4009C,33305E,8,3131V,3131C,22
9530,5956C,86940A,12,54320B,550X,21
9531,69796A,5956A,18,53346A,19122A,15
9532,77788Y,508J,6,9528C,1533M,29
9533,9528B,550Z,19,9528E,550C,6
9534,550D,33305T,11,77788J,4009A,18
9535,3131V,4009B,22,3131B,1365B,11
9536,550A,86940B,11,1365A,11741A,24
9537,3131C,804E,13,550G,19122B,24
9538,804D,69796A,3,5956Z,77788H,23
9539,53346A,5956C,11,1533M,77788J,27
9540,1365A,9528E,13,33305E,9528B,19
9541,86940B,4009B,6,550Z,550X,21
9542,11741A,5956Z,7,9528C,550D,25
9543,19122A,5956A,12,3131V,550C,24
9544,508J,3131B,3,550A,550G,29
9545,4009C,1365B,5,77788Y,77788H,32
9546,3131C,804D,16,54320B,69796A,19
9547,33305E,9528B,0,1533M,77788J,30
9548,9528C,550D,9,550Z,550X,23
9549,550A,550G,15,3131V,550C,19
9550,54320B,69796A,12,77788Y,77788H,27
9551,550Z,550X,5,1533M,77788J,23
9552,77788Y,77788H,24,3131V,550C,12
9553,77788Y,77788H,17,1533M,77788J,12
9554,7057B,2496R,27,7057D,9805D,9
9555,6722C,8929B,7,6722B,6627X,23
9556,88596B,8838C,7,2496N,2496J,23
9557,6722A,6627D,22,6627C,9805A,11
9558,2496X,8929C,15,8838A,8838D,20
9559,7057F,2496Y,21,98268A,8838B,14
9560,98268B,9805B,2,7057C,8838E,25
9561,9805C,8929A,3,6627B,88596A,33
9562,6722B,8929C,7,7057A,6627A,31
9563,8838B,7057D,11,6722C,8838D,20
9564,9805A,2496J,13,9805D,8838E,17
9565,6627X,2496Y,24,9805B,6627D,10
9566,6627B,7057C,21,8838C,7057B,6
9567,8838A,98268A,19,6722A,9805C,1
9568,6627A,88596A,31,2496R,7057F,8
9569,2496N,6627C,27,8929B,7057A,5
9570,88596B,2496X,32,98268B,8929A,1
9571,8838E,9805C,21,6722C,8929C,6
9572,8838D,6722B,28,98268A,2496J,3
9573,7057A,9805A,11,8838C,7057D,12
9574,9805B,6627A,20,2496N,6627B,15
9575,8929A,7057C,8,2496Y,6722A,26
9576,98268B,7057B,21,8929B,7057F,5
9577,9805D,6627D,26,88596A,2496X,12
9578,6627C,2496R,25,88596B,8838B,5
9579,2496N,7057D,4,8838A,6627X,28
9580,98268A,6722C,9,6627A,9805A,29
9581,2496X,2496Y,29,9805C,7057B,7
9582,8929C,8929B,4,8929A,6627D,29
9583,6722A,8838E,13,6722B,2496R,15
9584,7057F,7057A,17,7057C,88596B,14
9585,8838D,9805D,10,98268B,6627B,16
9586,8838A,2496J,17,9805B,6627C,17
9587,8838B,8838C,33,6627X,88596A,0
9588,6627A,8838E,28,2496Y,8929B,9
9589,9805C,7057F,1,2496N,9805D,32
9590,9805B,88596B,11,8929C,6722A,21
9591,98268A,88596A,14,7057B,7057A,19
9592,7057D,7057C,13,2496X,2496J,12
9593,8838A,6627B,24,8838B,6722B,2
9594,6627X,8929A,9,8838D,9805A,17
